service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
000126,0,0,0,0,0,0,0,20201213,20211211
000128,0,0,0,0,0,0,0,20201213,20211211
000130,0,0,0,0,0,0,0,20201213,20211211
000131,0,0,0,0,0,0,0,20201213,20211211
000134,0,0,0,0,0,0,0,20201213,20211211
000135,0,0,0,0,0,0,0,20201213,20211211
000136,0,0,0,0,0,0,0,20201213,20211211
000137,0,0,0,0,0,0,0,20201213,20211211
000138,0,0,0,0,0,0,0,20201213,20211211
000140,0,0,0,0,0,0,0,20201213,20211211
000142,0,0,0,0,0,0,0,20201213,20211211
000143,0,0,0,0,0,0,0,20201213,20211211
000144,0,0,0,0,0,0,0,20201213,20211211
000145,0,0,0,0,0,0,0,20201213,20211211
000149,0,0,0,0,0,0,0,20201213,20211211
000152,0,0,0,0,0,0,0,20201213,20211211
000153,0,0,0,0,0,0,0,20201213,20211211
000154,0,0,0,0,0,0,0,20201213,20211211
000156,0,0,0,0,0,0,0,20201213,20211211
000163,0,0,0,0,0,0,0,20201213,20211211
000166,0,0,0,0,0,0,0,20201213,20211211
000167,0,0,0,0,0,0,0,20201213,20211211
000168,0,0,0,0,0,0,0,20201213,20211211
000169,0,0,0,0,0,0,0,20201213,20211211
000170,0,0,0,0,0,0,0,20201213,20211211
000171,0,0,0,0,0,0,0,20201213,20211211
000172,0,0,0,0,0,0,0,20201213,20211211
000175,0,0,0,0,0,0,0,20201213,20211211
000176,0,0,0,0,0,0,0,20201213,20211211
000177,0,0,0,0,0,0,0,20201213,20211211
000178,0,0,0,0,0,0,0,20201213,20211211
000188,0,0,0,0,0,0,0,20201213,20211211
000189,0,0,0,0,0,0,0,20201213,20211211
000190,0,0,0,0,0,0,0,20201213,20211211
000191,0,0,0,0,0,0,0,20201213,20211211
000192,0,0,0,0,0,0,0,20201213,20211211
000193,0,0,0,0,0,0,0,20201213,20211211
000196,0,0,0,0,0,0,0,20201213,20211211
000197,0,0,0,0,0,0,0,20201213,20211211
000198,0,0,0,0,0,0,0,20201213,20211211
000199,0,0,0,0,0,0,0,20201213,20211211
000200,0,0,0,0,0,0,0,20201213,20211211
000201,0,0,0,0,0,0,0,20201213,20211211
000202,0,0,0,0,0,0,0,20201213,20211211
000204,0,0,0,0,0,0,0,20201213,20211211
000206,0,0,0,0,0,0,0,20201213,20211211
000208,0,0,0,0,0,0,0,20201213,20211211
000209,0,0,0,0,0,0,0,20201213,20211211
000210,0,0,0,0,0,0,0,20201213,20211211
000211,0,0,0,0,0,0,0,20201213,20211211
000213,0,0,0,0,0,0,0,20201213,20211211
000214,0,0,0,0,0,0,0,20201213,20211211
000215,0,0,0,0,0,0,0,20201213,20211211
000216,0,0,0,0,0,0,0,20201213,20211211
000217,0,0,0,0,0,0,0,20201213,20211211
000219,0,0,0,0,0,0,0,20201213,20211211
000221,0,0,0,0,0,0,0,20201213,20211211
000222,0,0,0,0,0,0,0,20201213,20211211
000223,0,0,0,0,0,0,0,20201213,20211211
000225,0,0,0,0,0,0,0,20201213,20211211
000226,0,0,0,0,0,0,0,20201213,20211211
000227,0,0,0,0,0,0,0,20201213,20211211
000228,0,0,0,0,0,0,0,20201213,20211211
000229,0,0,0,0,0,0,0,20201213,20211211
000230,0,0,0,0,0,0,0,20201213,20211211
000231,0,0,0,0,0,0,0,20201213,20211211
000232,0,0,0,0,0,0,0,20201213,20211211
000233,0,0,0,0,0,0,0,20201213,20211211
000234,0,0,0,0,0,0,0,20201213,20211211
000235,0,0,0,0,0,0,0,20201213,20211211
000236,0,0,0,0,0,0,0,20201213,20211211
000237,0,0,0,0,0,0,0,20201213,20211211
000239,0,0,0,0,0,0,0,20201213,20211211
000240,0,0,0,0,0,0,0,20201213,20211211
000241,0,0,0,0,0,0,0,20201213,20211211
000242,0,0,0,0,0,0,0,20201213,20211211
000244,0,0,0,0,0,0,0,20201213,20211211
000246,0,0,0,0,0,0,0,20201213,20211211
000249,0,0,0,0,0,0,0,20201213,20211211
000250,0,0,0,0,0,0,0,20201213,20211211
000251,0,0,0,0,0,0,0,20201213,20211211
000252,0,0,0,0,0,0,0,20201213,20211211
000253,0,0,0,0,0,0,0,20201213,20211211
000256,0,0,0,0,0,0,0,20201213,20211211
000257,0,0,0,0,0,0,0,20201213,20211211
000258,0,0,0,0,0,0,0,20201213,20211211
000259,0,0,0,0,0,0,0,20201213,20211211
000261,0,0,0,0,0,0,0,20201213,20211211
000262,0,0,0,0,0,0,0,20201213,20211211
000273,0,0,0,0,0,0,0,20201213,20211211
000274,0,0,0,0,0,0,0,20201213,20211211
000275,0,0,0,0,0,0,0,20201213,20211211
000287,0,0,0,0,0,0,0,20201213,20211211
000289,0,0,0,0,0,0,0,20201213,20211211
000297,0,0,0,0,0,0,0,20201213,20211211
000334,0,0,0,0,0,0,0,20201213,20211211
000342,0,0,0,0,0,0,0,20201213,20211211
000343,0,0,0,0,0,0,0,20201213,20211211
000345,0,0,0,0,0,0,0,20201213,20211211
000346,0,0,0,0,0,0,0,20201213,20211211
000348,0,0,0,0,0,0,0,20201213,20211211
000358,0,0,0,0,0,0,0,20201213,20211211
000359,0,0,0,0,0,0,0,20201213,20211211
000361,0,0,0,0,0,0,0,20201213,20211211
000363,0,0,0,0,0,0,0,20201213,20211211
000373,0,0,0,0,0,0,0,20201213,20211211
000376,0,0,0,0,0,0,0,20201213,20211211
000421,0,0,0,0,0,0,0,20201213,20211211
000440,0,0,0,0,0,0,0,20201213,20211211
000442,0,0,0,0,0,0,0,20201213,20211211
