route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,trip_type
43,000000,1787,Wien Hütteldorf Bahnhof,,,1548,,1
43,000000,1788,Wien Aspern Nord Bahnhof,,,1549,,1
43,000000,1789,Wien Hütteldorf Bahnhof,,,1550,,1
43,000000,1790,Wien Aspern Nord Bahnhof,,,1551,,1
43,000000,1791,Wien Hütteldorf Bahnhof,,,1552,,1
43,000000,1792,Wien Aspern Nord Bahnhof,,,1553,,1
43,000000,1793,Wien Hütteldorf Bahnhof,,,1554,,1
43,000000,1794,Wien Aspern Nord Bahnhof,,,1555,,1
43,000000,1795,Wien Hütteldorf Bahnhof,,,1556,,1
43,000000,1796,Wien Aspern Nord Bahnhof,,,1557,,1
43,000000,1797,Wien Hütteldorf Bahnhof,,,1558,,1
43,000000,1798,Wien Aspern Nord Bahnhof,,,1559,,1
43,000000,1799,Wien Hütteldorf Bahnhof,,,1560,,1
43,000000,1800,Wien Aspern Nord Bahnhof,,,1561,,1
43,000000,1801,Wien Hütteldorf Bahnhof,,,1562,,1
43,000000,1802,Wien Aspern Nord Bahnhof,,,1563,,1
43,000000,1803,Wien Hütteldorf Bahnhof,,,1564,,1
43,000000,1804,Wien Aspern Nord Bahnhof,,,1565,,1
43,000000,1805,Wien Hütteldorf Bahnhof,,,1566,,1
43,000000,1806,Wien Aspern Nord Bahnhof,,,1567,,1
43,000000,1807,Wien Hütteldorf Bahnhof,,,1568,,1
43,000000,1808,Wien Aspern Nord Bahnhof,,,1569,,1
43,000000,1809,Wien Hütteldorf Bahnhof,,,1570,,1
43,000000,1810,Wien Aspern Nord Bahnhof,,,1571,,1
43,000000,1811,Wien Hütteldorf Bahnhof,,,1572,,1
43,000000,1812,Wien Aspern Nord Bahnhof,,,1573,,1
43,000000,1813,Wien Hütteldorf Bahnhof,,,1574,,1
43,000000,1814,Wien Aspern Nord Bahnhof,,,1575,,1
43,000000,1815,Wien Hütteldorf Bahnhof,,,1576,,1
43,000000,1816,Wien Aspern Nord Bahnhof,,,1577,,1
43,000000,1817,Wien Hütteldorf Bahnhof,,,1578,,1
44,000000,1818,Marchegg Bahnhof,,,1579,,1
44,000000,1819,Wien Hbf,,,1580,,1
44,000000,1820,Marchegg Bahnhof,,,1581,,1
44,000000,1821,Wien Hbf,,,1582,,1
44,000000,1822,Marchegg Bahnhof,,,1583,,1
45,000004,1823,Marchegg Bahnhof,,,1584,,1
45,000033,1824,Marchegg Bahnhof,,,1585,,1
45,000000,1825,Wien Hbf,,,1586,,1
45,000033,1826,Marchegg Bahnhof,,,1587,,1
45,000000,1827,Wien Hbf,,,1588,,1
45,000000,1828,Marchegg Bahnhof,,,1589,,1
45,000000,1829,Wien Hbf,,,1590,,1
45,000033,1830,Wien Hbf,,,1591,,1
45,000000,1831,Marchegg Bahnhof,,,1592,,1
45,000000,1832,Wien Hbf,,,1593,,1
45,000000,1833,Marchegg Bahnhof,,,1594,,1
45,000000,1834,Wien Hbf,,,1595,,1
45,000033,1835,Marchegg Bahnhof,,,1596,,1
45,000000,1836,Marchegg Bahnhof,,,1597,,1
45,000000,1837,Wien Hbf,,,1598,,1
45,000033,1838,Marchegg Bahnhof,,,1599,,1
11,000037,1839,Schwarzach-St.Veit Bahnhof,,,1600,,1
45,000033,1840,Wien Hbf,,,1601,,1
45,000000,1841,Marchegg Bahnhof,,,1602,,1
45,000000,1842,Wien Hbf,,,1603,,1
45,000033,1843,Marchegg Bahnhof,,,1604,,1
45,000033,1844,Wien Hbf,,,1605,,1
45,000000,1845,Marchegg Bahnhof,,,1606,,1
45,000000,1846,Wien Hbf,,,1607,,1
45,000033,1847,Marchegg Bahnhof,,,1608,,1
11,000038,1848,Salzburg Hbf,,,1609,,1
45,000033,1849,Wien Hbf,,,1610,,1
25,000033,1850,Freilassing (Oberbayern),R 25790,,1611,,1
7,000033,1851,Golling-Abtenau Bahnhof,REX 25791,,1612,,1
45,000000,1852,Marchegg Bahnhof,,,1613,,1
45,000000,1853,Wien Hbf,,,1614,,1
45,000033,1854,Marchegg Bahnhof,,,1615,,1
45,000000,1855,Marchegg Bahnhof,,,1616,,1
45,000000,1856,Wien Hbf,,,1617,,1
46,000033,1857,Wien Hbf,,,1618,,1
47,000000,1858,Wr.Neustadt Hbf,,,1619,,1
47,000033,1859,Wr.Neustadt Hbf,,,1619,,1
47,000033,1860,Bruck/Leitha Bahnhof,,,1620,,1
47,000000,1861,Wien Hbf,,,1621,,1
47,000000,1862,Bruck/Leitha Bahnhof,,,1622,,1
